"track_id","race_date","race","program_number","horse_id","finishing_place"
"AQU",2019-01-01,1,"5",4638,1
"AQU",2019-01-01,1,"1",1,2
"AQU",2019-01-01,1,"2",2,3
"AQU",2019-01-01,1,"3",3,4
"AQU",2019-01-01,1,"4",4,5
"AQU",2019-01-01,2,"6",5,1
"AQU",2019-01-01,2,"1",6,2
"AQU",2019-01-01,2,"5",7,3
"AQU",2019-01-01,2,"3",8,4
"AQU",2019-01-01,2,"4",9,5
"AQU",2019-01-01,2,"7",10,6
"AQU",2019-01-01,2,"2",11,7
"AQU",2019-01-01,3,"3",12,1
"AQU",2019-01-01,3,"1",13,2
"AQU",2019-01-01,3,"4",14,3
"AQU",2019-01-01,3,"7",15,4
"AQU",2019-01-01,3,"6",16,5
"AQU",2019-01-01,3,"8",17,6
"AQU",2019-01-01,3,"5",18,7
"AQU",2019-01-01,3,"2",19,8
"AQU",2019-01-01,4,"1",20,1
"AQU",2019-01-01,4,"3",21,2
"AQU",2019-01-01,4,"6",22,3
"AQU",2019-01-01,4,"1A",23,4
"AQU",2019-01-01,4,"4",24,5
"AQU",2019-01-01,4,"5",25,6
"AQU",2019-01-01,5,"6",26,1
"AQU",2019-01-01,5,"8",27,2
"AQU",2019-01-01,5,"1",28,3
"AQU",2019-01-01,5,"5",29,4
"AQU",2019-01-01,5,"7",30,5
"AQU",2019-01-01,5,"2",31,6
"AQU",2019-01-01,5,"3",32,7
"AQU",2019-01-01,6,"6",33,1
"AQU",2019-01-01,6,"7",34,2
"AQU",2019-01-01,6,"2",35,3
"AQU",2019-01-01,6,"10",36,4
"AQU",2019-01-01,6,"9",37,5
"AQU",2019-01-01,6,"8",38,6
"AQU",2019-01-01,6,"5",39,7
"AQU",2019-01-01,7,"9",40,1
"AQU",2019-01-01,7,"2",41,2
"AQU",2019-01-01,7,"1",42,3
"AQU",2019-01-01,7,"3",43,4
"AQU",2019-01-01,7,"6",44,5
"AQU",2019-01-01,7,"7",45,6
"AQU",2019-01-01,7,"5",46,7
"AQU",2019-01-01,8,"3",47,1
"AQU",2019-01-01,8,"4",48,2
"AQU",2019-01-01,8,"2",49,3
"AQU",2019-01-01,8,"5",50,4
"AQU",2019-01-01,8,"6",51,5
"AQU",2019-01-01,8,"1",52,6
"AQU",2019-01-01,9,"3",53,1
"AQU",2019-01-01,9,"10",54,2
"AQU",2019-01-01,9,"8",55,3
"AQU",2019-01-01,9,"11",56,4
"AQU",2019-01-01,9,"9",57,5
"AQU",2019-01-01,9,"4",58,6
"AQU",2019-01-01,9,"7",59,7
"AQU",2019-01-01,9,"6",60,8
"AQU",2019-01-01,9,"1",61,9
"AQU",2019-01-04,1,"4",62,1
"AQU",2019-01-04,1,"5",63,2
"AQU",2019-01-04,1,"3",64,3
"AQU",2019-01-04,1,"2",65,4
"AQU",2019-01-04,1,"6",66,5
"AQU",2019-01-04,1,"1",67,6
"AQU",2019-01-04,2,"4",68,1
"AQU",2019-01-04,2,"5",69,2
"AQU",2019-01-04,2,"2",70,3
"AQU",2019-01-04,2,"1",71,4
"AQU",2019-01-04,2,"3",72,5
"AQU",2019-01-04,2,"6",73,6
"AQU",2019-01-04,3,"3",74,1
"AQU",2019-01-04,3,"2",75,2
"AQU",2019-01-04,3,"7",76,3
"AQU",2019-01-04,3,"4",77,4
"AQU",2019-01-04,3,"1",78,5
"AQU",2019-01-04,3,"5",79,6
"AQU",2019-01-04,4,"1",80,1
"AQU",2019-01-04,4,"5",81,2
"AQU",2019-01-04,4,"2",82,3
"AQU",2019-01-04,4,"4",83,4
"AQU",2019-01-04,4,"7",84,5
"AQU",2019-01-04,4,"6",85,6
"AQU",2019-01-04,4,"3",86,7
"AQU",2019-01-04,5,"3",87,1
"AQU",2019-01-04,5,"6",88,2
"AQU",2019-01-04,5,"4",89,3
"AQU",2019-01-04,5,"2",90,4
"AQU",2019-01-04,5,"1",91,5
"AQU",2019-01-04,5,"5",92,6
"AQU",2019-01-04,6,"3",93,1
"AQU",2019-01-04,6,"2",94,2
"AQU",2019-01-04,6,"6",95,3
"AQU",2019-01-04,6,"7",96,4
"AQU",2019-01-04,6,"5",97,5
"AQU",2019-01-04,6,"4",98,6
"AQU",2019-01-04,6,"1",99,7
"AQU",2019-01-04,7,"5",100,1
"AQU",2019-01-04,7,"2",101,2
"AQU",2019-01-04,7,"7",102,3
"AQU",2019-01-04,7,"1A",103,4
"AQU",2019-01-04,7,"4",104,5
"AQU",2019-01-04,7,"6",105,6
"AQU",2019-01-04,8,"4",106,1
"AQU",2019-01-04,8,"3",107,2
"AQU",2019-01-04,8,"6",108,3
"AQU",2019-01-04,8,"7",109,4
"AQU",2019-01-04,8,"2",110,5
"AQU",2019-01-04,8,"8",111,6
"AQU",2019-01-04,8,"1",112,7
"AQU",2019-01-05,1,"8",113,1
"AQU",2019-01-05,1,"4",114,2
"AQU",2019-01-05,1,"5",115,3
"AQU",2019-01-05,1,"3",116,4
"AQU",2019-01-05,1,"6",117,5
"AQU",2019-01-05,1,"1",118,6
"AQU",2019-01-05,2,"5",119,1
"AQU",2019-01-05,2,"1",120,2
"AQU",2019-01-05,2,"2",121,3
"AQU",2019-01-05,2,"4",122,4
"AQU",2019-01-05,2,"6",123,5
"AQU",2019-01-05,2,"3",124,6
"AQU",2019-01-05,3,"5",125,1
"AQU",2019-01-05,3,"7",126,2
"AQU",2019-01-05,3,"6",127,3
"AQU",2019-01-05,3,"2",128,4
"AQU",2019-01-05,3,"1",129,5
"AQU",2019-01-05,3,"4",130,6
"AQU",2019-01-05,4,"1A",131,1
"AQU",2019-01-05,4,"6",132,2
"AQU",2019-01-05,4,"4",133,3
"AQU",2019-01-05,4,"5",134,4
"AQU",2019-01-05,4,"2",135,5
"AQU",2019-01-05,4,"7",136,6
"AQU",2019-01-05,4,"8",137,7
"AQU",2019-01-05,4,"3",138,8
"AQU",2019-01-05,5,"4",139,1
"AQU",2019-01-05,5,"1",140,2
"AQU",2019-01-05,5,"6",141,3
"AQU",2019-01-05,5,"5",142,4
"AQU",2019-01-05,5,"2",143,5
"AQU",2019-01-05,5,"3",144,6
"AQU",2019-01-05,6,"9",145,1
"AQU",2019-01-05,6,"3",146,2
"AQU",2019-01-05,6,"8",147,3
"AQU",2019-01-05,6,"2",148,4
"AQU",2019-01-05,6,"1",149,5
"AQU",2019-01-05,6,"6",150,6
"AQU",2019-01-05,6,"11",151,7
"AQU",2019-01-05,6,"7",152,8
"AQU",2019-01-05,6,"5",153,9
"AQU",2019-01-05,7,"8",154,1
"AQU",2019-01-05,7,"1",155,2
"AQU",2019-01-05,7,"3",156,3
"AQU",2019-01-05,7,"2",157,4
"AQU",2019-01-05,7,"5",158,5
"AQU",2019-01-05,7,"7",159,6
"AQU",2019-01-05,7,"6",160,7
"AQU",2019-01-05,8,"3",161,1
"AQU",2019-01-05,8,"5",162,2
"AQU",2019-01-05,8,"10",163,3
"AQU",2019-01-05,8,"2",164,4
"AQU",2019-01-05,8,"7",165,5
"AQU",2019-01-05,8,"6",166,6
"AQU",2019-01-05,8,"4",167,7
"AQU",2019-01-05,8,"8",168,8
"AQU",2019-01-05,9,"1",169,1
"AQU",2019-01-05,9,"5",170,2
"AQU",2019-01-05,9,"6",171,3
"AQU",2019-01-05,9,"8",172,4
"AQU",2019-01-05,9,"9",173,5
"AQU",2019-01-05,9,"7",174,6
"AQU",2019-01-05,9,"10",175,7
"AQU",2019-01-06,1,"3",176,1
"AQU",2019-01-06,1,"2",177,2
"AQU",2019-01-06,1,"6",178,3
"AQU",2019-01-06,1,"4",179,4
"AQU",2019-01-06,2,"1",180,1
"AQU",2019-01-06,2,"3",181,2
"AQU",2019-01-06,2,"6",182,3
"AQU",2019-01-06,2,"4",183,4
"AQU",2019-01-06,2,"5",184,5
"AQU",2019-01-06,3,"3",185,1
"AQU",2019-01-06,3,"5",186,2
"AQU",2019-01-06,3,"4",187,3
"AQU",2019-01-06,3,"7",188,4
"AQU",2019-01-06,3,"6",189,5
"AQU",2019-01-06,3,"2",190,6
"AQU",2019-01-06,4,"2",191,1
"AQU",2019-01-06,4,"6",192,2
"AQU",2019-01-06,4,"5",193,3
