latitude,longitude,track_id,course_type,outline_type,run_up_type
43.068761, -73.772179,SAR,D,outer,direct
43.068522, -73.772051,SAR,D,outer,direct
43.068956, -73.770844,SAR,D,outer,partial
43.069307, -73.769894,SAR,D,outer,partial
43.069624, -73.769121,SAR,D,outer,partial
43.069866, -73.769286,SAR,D,outer,direct
43.069587, -73.769989,SAR,D,outer,direct
43.070009, -73.768180,SAR,D,outer,none
43.070682, -73.766558,SAR,D,outer,none
43.071099, -73.765572,SAR,D,outer,none
43.071357, -73.765006,SAR,D,outer,none
43.071427, -73.764877,SAR,D,outer,none
43.071527, -73.764717,SAR,D,outer,none
43.071644, -73.764570,SAR,D,outer,none
43.071747, -73.764456,SAR,D,outer,none
43.071933, -73.764309,SAR,D,outer,none
43.072170, -73.764178,SAR,D,outer,none
43.072367, -73.764114,SAR,D,outer,none
43.072602, -73.764092,SAR,D,outer,none
43.072832, -73.764118,SAR,D,outer,none
43.073080, -73.764205,SAR,D,outer,none
43.073352, -73.764376,SAR,D,outer,none
43.073477, -73.764490,SAR,D,outer,none
43.073602, -73.764639,SAR,D,outer,none
43.073750, -73.764858,SAR,D,outer,none
43.073838, -73.765032,SAR,D,outer,none
43.073958, -73.765360,SAR,D,outer,none
43.074033, -73.765724,SAR,D,outer,none
43.074058, -73.766002,SAR,D,outer,none
43.074058, -73.766148,SAR,D,outer,none
43.074026, -73.766519,SAR,D,outer,none
43.073977, -73.766820,SAR,D,outer,none
43.073901, -73.767149,SAR,D,outer,none
43.073809, -73.767460,SAR,D,outer,none
43.073671, -73.767857,SAR,D,outer,none
43.073457, -73.768405,SAR,D,outer,none
43.073111, -73.769276,SAR,D,outer,none
43.072669, -73.770396,SAR,D,outer,none
43.072343, -73.771217,SAR,D,outer,none
43.072080, -73.771868,SAR,D,outer,none
43.071930, -73.772182,SAR,D,outer,none
43.071806, -73.772391,SAR,D,outer,none
43.071656, -73.772588,SAR,D,outer,none
43.071530, -73.772713,SAR,D,outer,none
43.071404, -73.772825,SAR,D,outer,none
43.071233, -73.772911,SAR,D,outer,none
43.071019, -73.772991,SAR,D,outer,none
43.070745, -73.773030,SAR,D,outer,none
43.070556, -73.773018,SAR,D,outer,none
43.070236, -73.772946,SAR,D,outer,none
43.070037, -73.772800,SAR,D,outer,none
43.069817, -73.772621,SAR,D,outer,none
43.069710, -73.772491,SAR,D,outer,none
43.069578, -73.772331,SAR,D,outer,none
43.069501, -73.772212,SAR,D,outer,none
43.069376, -73.771952,SAR,D,outer,none
43.069314, -73.771784,SAR,D,outer,none
43.069249, -73.771528,SAR,D,outer,none
43.069204, -73.771241,SAR,D,outer,none
43.069186, -73.771073,SAR,D,outer,none
43.069175, -73.771084,SAR,D,outer,partial
43.069056, -73.771396,SAR,D,outer,direct
43.068815, -73.772030,SAR,D,outer,direct
43.069600, -73.769983,SAR,D,inner,none
43.070154, -73.768572,SAR,D,inner,none
43.070701, -73.767187,SAR,D,inner,none
43.071099, -73.766185,SAR,D,inner,none
43.071385, -73.765462,SAR,D,inner,none
43.071427, -73.765359,SAR,D,inner,none
43.071514, -73.765154,SAR,D,inner,none
43.071605, -73.764979,SAR,D,inner,none
43.071712, -73.764823,SAR,D,inner,none
43.071857, -73.764660,SAR,D,inner,none
43.071932, -73.764597,SAR,D,inner,none
43.072069, -73.764493,SAR,D,inner,none
43.072247, -73.764407,SAR,D,inner,none
43.072397, -73.764364,SAR,D,inner,none
43.072565, -73.764341,SAR,D,inner,none
43.072748, -73.764354,SAR,D,inner,none
43.072903, -73.764395,SAR,D,inner,none
43.073063, -73.764464,SAR,D,inner,none
43.073231, -73.764571,SAR,D,inner,none
43.073361, -73.764683,SAR,D,inner,none
43.073485, -73.764826,SAR,D,inner,none
43.073590, -73.764980,SAR,D,inner,none
43.073686, -73.765159,SAR,D,inner,none
43.073770, -73.765373,SAR,D,inner,none
43.073818, -73.765530,SAR,D,inner,none
43.073873, -73.765850,SAR,D,inner,none
43.073883, -73.766150,SAR,D,inner,none
43.073864, -73.766400,SAR,D,inner,none
43.073801, -73.766700,SAR,D,inner,none
43.073702, -73.767012,SAR,D,inner,none
43.073488, -73.767554,SAR,D,inner,none
43.073134, -73.768457,SAR,D,inner,none
43.072608, -73.769793,SAR,D,inner,none
43.072153, -73.770946,SAR,D,inner,none
43.071850, -73.771704,SAR,D,inner,none
43.071642, -73.772129,SAR,D,inner,none
43.071442, -73.772387,SAR,D,inner,none
43.071228, -73.772568,SAR,D,inner,none
43.071047, -73.772669,SAR,D,inner,none
43.070940, -73.772709,SAR,D,inner,none
43.070705, -73.772750,SAR,D,inner,none
43.070496, -73.772738,SAR,D,inner,none
43.070281, -73.772675,SAR,D,inner,none
43.070018, -73.772526,SAR,D,inner,none
43.069884, -73.772400,SAR,D,inner,none
43.069701, -73.772169,SAR,D,inner,none
43.069550, -73.771894,SAR,D,inner,none
43.069434, -73.771553,SAR,D,inner,none
43.069383, -73.771265,SAR,D,inner,none
43.069370, -73.771061,SAR,D,inner,none
43.069379, -73.770789,SAR,D,inner,none
43.069406, -73.770562,SAR,D,inner,none
43.069457, -73.770338,SAR,D,inner,none
43.069497, -73.770221,SAR,D,inner,none
43.069613, -73.769905,SAR,D,inner,none
43.069553, -73.770204,SAR,O,outer,none
43.070022, -73.769017,SAR,O,outer,none
43.070582, -73.767593,SAR,O,outer,none
43.071257, -73.765881,SAR,O,outer,none
43.071473, -73.765341,SAR,O,outer,none
43.071616, -73.765042,SAR,O,outer,none
43.071744, -73.764843,SAR,O,outer,none
43.071938, -73.764645,SAR,O,outer,none
43.072132, -73.764512,SAR,O,outer,none
43.072349, -73.764424,SAR,O,outer,none
43.072520, -73.764395,SAR,O,outer,none
43.072716, -73.764401,SAR,O,outer,none
43.072848, -73.764425,SAR,O,outer,none
43.072999, -73.764486,SAR,O,outer,none
43.073184, -73.764599,SAR,O,outer,none
43.073350, -73.764741,SAR,O,outer,none
43.073509, -73.764939,SAR,O,outer,none
43.073636, -73.765164,SAR,O,outer,none
43.073748, -73.765460,SAR,O,outer,none
43.073806, -73.765701,SAR,O,outer,none
43.073837, -73.766069,SAR,O,outer,none
43.073815, -73.766443,SAR,O,outer,none
43.073768, -73.766663,SAR,O,outer,none
43.073695, -73.766891,SAR,O,outer,none
43.073513, -73.767353,SAR,O,outer,none
43.073275, -73.767947,SAR,O,outer,none
43.072842, -73.769043,SAR,O,outer,none
